year,state,disabilityType,classOfWorker,percentage,numbers
2018,Illinois,With a Disability,Employee of private company workers,66.4,206473.456
2018,Illinois,No Disability,Employee of private company workers,71.3,4263671.552
2018,Illinois,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.8,239052.604
2018,Illinois,With a Disability,Self-employed in own incorporated business workers,3.6,11194.344
2018,Illinois,No Disability,Self-employed in own incorporated business workers,3.8,227236.352
2018,Illinois,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,8.7,547304.646
2018,Illinois,With a Disability,Private not-for-profit wage and salary workers,9.8,30473.492
2018,Illinois,No Disability,Private not-for-profit wage and salary workers,8.7,520251.648
2018,Illinois,Total Civilian Noninstitutionalized Population,Local government workers,6.5,408905.77
2018,Illinois,With a Disability,Local government workers,6.8,21144.872
2018,Illinois,No Disability,Local government workers,6.4,382713.856
2018,Illinois,Total Civilian Noninstitutionalized Population,State government workers,3.6,226470.888
2018,Illinois,With a Disability,State government workers,4.5,13992.93
2018,Illinois,No Disability,State government workers,3.5,209296.64
2018,Illinois,Total Civilian Noninstitutionalized Population,Federal government workers,1.6,100653.728
2018,Illinois,With a Disability,Federal government workers,2,6219.08
2018,Illinois,No Disability,Federal government workers,1.6,95678.464
2018,Illinois,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,4.6,289379.468
2018,Illinois,With a Disability,Self-employed in own not incorporated business workers,6.4,19901.056
2018,Illinois,No Disability,Self-employed in own not incorporated business workers,4.5,269095.68
2018,Illinois,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,12581.716
2018,Illinois,With a Disability,Unpaid family workers,0.4,1243.816
2018,Illinois,No Disability,Unpaid family workers,0.2,11959.808
2018,Iowa,Total Civilian Noninstitutionalized Population,,100,1615996
2018,Iowa,With a Disability,,100,98625
2018,Iowa,No Disability,,100,1517371
2018,Iowa,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,72.1,1165133.116
2018,Iowa,With a Disability,Private for-profit wage and salary workers,70.1,69136.125
2018,Iowa,No Disability,Private for-profit wage and salary workers,72.3,1097059.233
2018,Iowa,Total Civilian Noninstitutionalized Population,Employee of private company workers,68.5,1106957.26
2018,Iowa,With a Disability,Employee of private company workers,66.6,65684.25
2018,Iowa,No Disability,Employee of private company workers,68.7,1042433.877
2018,Iowa,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.6,58175.856
2018,Iowa,With a Disability,Self-employed in own incorporated business workers,3.5,3451.875
2018,Iowa,No Disability,Self-employed in own incorporated business workers,3.6,54625.356
2018,Iowa,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,8.4,135743.664
2018,Iowa,With a Disability,Private not-for-profit wage and salary workers,8.3,8185.875
2018,Iowa,No Disability,Private not-for-profit wage and salary workers,8.4,127459.164
2018,Iowa,Total Civilian Noninstitutionalized Population,Local government workers,6.1,98575.756
2018,Iowa,With a Disability,Local government workers,5.3,5227.125
2018,Iowa,No Disability,Local government workers,6.1,92559.631
2018,Iowa,Total Civilian Noninstitutionalized Population,State government workers,5.6,90495.776
2018,Iowa,With a Disability,State government workers,4.2,4142.25
2018,Iowa,No Disability,State government workers,5.7,86490.147
2018,Iowa,Total Civilian Noninstitutionalized Population,Federal government workers,1.6,25855.936
2018,Iowa,With a Disability,Federal government workers,2.5,2465.625
2018,Iowa,No Disability,Federal government workers,1.5,22760.565
2018,Iowa,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,6,96959.76
2018,Iowa,With a Disability,Self-employed in own not incorporated business workers,9.2,9073.5
2018,Iowa,No Disability,Self-employed in own not incorporated business workers,5.8,88007.518
2018,Iowa,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,3231.992
2018,Iowa,With a Disability,Unpaid family workers,0.4,394.5
2018,Iowa,No Disability,Unpaid family workers,0.2,3034.742
2018,New Hampshire,Total Civilian Noninstitutionalized Population,,100,728864
2018,New Hampshire,With a Disability,,100,48814
2018,New Hampshire,No Disability,,100,680050
2018,New Hampshire,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,70,510204.8
2018,New Hampshire,With a Disability,Private for-profit wage and salary workers,69.4,33876.916
2018,New Hampshire,No Disability,Private for-profit wage and salary workers,70.1,476715.05
2018,New Hampshire,Total Civilian Noninstitutionalized Population,Employee of private company workers,66.7,486152.288
2018,New Hampshire,With a Disability,Employee of private company workers,66.8,32607.752
2018,New Hampshire,No Disability,Employee of private company workers,66.7,453593.35
2018,New Hampshire,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.3,24052.512
2018,New Hampshire,With a Disability,Self-employed in own incorporated business workers,2.6,1269.164
2018,New Hampshire,No Disability,Self-employed in own incorporated business workers,3.3,22441.65
2018,New Hampshire,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,11.4,83090.496
2018,New Hampshire,With a Disability,Private not-for-profit wage and salary workers,12,5857.68
2018,New Hampshire,No Disability,Private not-for-profit wage and salary workers,11.4,77525.7
2018,New Hampshire,Total Civilian Noninstitutionalized Population,Local government workers,6.7,48833.888
2018,New Hampshire,With a Disability,Local government workers,5.6,2733.584
2018,New Hampshire,No Disability,Local government workers,6.8,46243.4
2018,New Hampshire,Total Civilian Noninstitutionalized Population,State government workers,3,21865.92
2018,New Hampshire,With a Disability,State government workers,3.3,1610.862
2018,New Hampshire,No Disability,State government workers,2.9,19721.45
2018,New Hampshire,Total Civilian Noninstitutionalized Population,Federal government workers,2.3,16763.872
2018,New Hampshire,With a Disability,Federal government workers,2.2,1073.908
2018,New Hampshire,No Disability,Federal government workers,2.3,15641.15
2018,New Hampshire,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,6.5,47376.16
2018,New Hampshire,With a Disability,Self-employed in own not incorporated business workers,7.1,3465.794
2018,New Hampshire,No Disability,Self-employed in own not incorporated business workers,6.4,43523.2
2018,New Hampshire,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.1,728.864
2018,New Hampshire,With a Disability,Unpaid family workers,0.3,146.442
2018,New Hampshire,No Disability,Unpaid family workers,0.1,680.05
2018,Rhode Island,Total Civilian Noninstitutionalized Population,,100,527317
2018,Rhode Island,With a Disability,,100,34477
2018,Rhode Island,No Disability,,100,492840
2018,Rhode Island,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,72.1,380195.557
2018,Rhode Island,With a Disability,Private for-profit wage and salary workers,75.3,25961.181
2018,Rhode Island,No Disability,Private for-profit wage and salary workers,71.8,353859.12
2018,Rhode Island,Total Civilian Noninstitutionalized Population,Employee of private company workers,68.8,362794.096
2018,Rhode Island,With a Disability,Employee of private company workers,71.7,24720.009
2018,Rhode Island,No Disability,Employee of private company workers,68.6,338088.24
2018,Rhode Island,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.2,16874.144
2018,Rhode Island,With a Disability,Self-employed in own incorporated business workers,3.6,1241.172
2018,Rhode Island,No Disability,Self-employed in own incorporated business workers,3.2,15770.88
2018,Rhode Island,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,10.6,55895.602
2018,Rhode Island,With a Disability,Private not-for-profit wage and salary workers,10,3447.7
2018,Rhode Island,No Disability,Private not-for-profit wage and salary workers,10.6,52241.04
2018,Rhode Island,Total Civilian Noninstitutionalized Population,Local government workers,6.3,33220.971
2018,Rhode Island,With a Disability,Local government workers,4.3,1482.511
2018,Rhode Island,No Disability,Local government workers,6.5,32034.6
2018,Rhode Island,Total Civilian Noninstitutionalized Population,State government workers,3.9,20565.363
2018,Rhode Island,With a Disability,State government workers,2.3,792.971
2018,Rhode Island,No Disability,State government workers,4,19713.6
2018,Rhode Island,Total Civilian Noninstitutionalized Population,Federal government workers,2.6,13710.242
2018,Rhode Island,With a Disability,Federal government workers,3.1,1068.787
2018,Rhode Island,No Disability,Federal government workers,2.5,12321
2018,Rhode Island,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,4.4,23201.948
2018,Rhode Island,With a Disability,Self-employed in own not incorporated business workers,4.7,1620.419
2018,Rhode Island,No Disability,Self-employed in own not incorporated business workers,4.4,21684.96
2018,Rhode Island,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,1054.634
2018,Rhode Island,With a Disability,Unpaid family workers,0.4,137.908
2018,Rhode Island,No Disability,Unpaid family workers,0.2,985.68
2018,Arkansas,Total Civilian Noninstitutionalized Population,,100,1317139
2018,Arkansas,With a Disability,,100,104121
2018,Arkansas,No Disability,,100,1213018
2018,Arkansas,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,71.2,937802.968
2018,Arkansas,With a Disability,Private for-profit wage and salary workers,67.4,70177.554
2018,Arkansas,No Disability,Private for-profit wage and salary workers,71.6,868520.888
2018,Arkansas,Total Civilian Noninstitutionalized Population,Employee of private company workers,67.7,891703.103
2018,Arkansas,With a Disability,Employee of private company workers,63.8,66429.198
2018,Arkansas,No Disability,Employee of private company workers,68,824852.24
2018,Arkansas,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.6,47417.004
2018,Arkansas,With a Disability,Self-employed in own incorporated business workers,3.6,3748.356
2018,Arkansas,No Disability,Self-employed in own incorporated business workers,3.6,43668.648
2018,Arkansas,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,7.4,97468.286
2018,Arkansas,With a Disability,Private not-for-profit wage and salary workers,8.5,8850.285
2018,Arkansas,No Disability,Private not-for-profit wage and salary workers,7.3,88550.314
2018,Arkansas,Total Civilian Noninstitutionalized Population,Local government workers,5.2,68491.228
2018,Arkansas,With a Disability,Local government workers,4.5,4685.445
2018,Arkansas,No Disability,Local government workers,5.3,64289.954
2018,Arkansas,Total Civilian Noninstitutionalized Population,State government workers,7.2,94834.008
2018,Arkansas,With a Disability,State government workers,7.6,7913.196
2018,Arkansas,No Disability,State government workers,7.2,87337.296
2018,Arkansas,Total Civilian Noninstitutionalized Population,Federal government workers,2,26342.78
2018,Arkansas,With a Disability,Federal government workers,2.4,2498.904
2018,Arkansas,No Disability,Federal government workers,2,24260.36
2018,Arkansas,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,6.7,88248.313
2018,Arkansas,With a Disability,Self-employed in own not incorporated business workers,9.5,9891.495
2018,Arkansas,No Disability,Self-employed in own not incorporated business workers,6.4,77633.152
2018,Arkansas,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,2634.278
2018,Arkansas,With a Disability,Unpaid family workers,0.1,104.121
2018,Arkansas,No Disability,Unpaid family workers,0.2,2426.036
2018,Delaware,Total Civilian Noninstitutionalized Population,,100,458434
2018,Delaware,With a Disability,,100,28927
2018,Delaware,No Disability,,100,429507
2018,Delaware,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,72,330072.48
2018,Delaware,With a Disability,Private for-profit wage and salary workers,69.4,20075.338
2018,Delaware,No Disability,Private for-profit wage and salary workers,72.1,309674.547
2018,Delaware,Total Civilian Noninstitutionalized Population,Employee of private company workers,67.6,309901.384
2018,Delaware,With a Disability,Employee of private company workers,64.4,18628.988
2018,Delaware,No Disability,Employee of private company workers,67.9,291635.253
2018,Delaware,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,4.3,19712.662
2018,Delaware,With a Disability,Self-employed in own incorporated business workers,5,1446.35
2018,Delaware,No Disability,Self-employed in own incorporated business workers,4.3,18468.801
2018,Delaware,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,8.3,38050.022
2018,Delaware,With a Disability,Private not-for-profit wage and salary workers,10.8,3124.116
2018,Delaware,No Disability,Private not-for-profit wage and salary workers,8.1,34790.067
2018,Delaware,Total Civilian Noninstitutionalized Population,Local government workers,2.7,12377.718
2018,Delaware,With a Disability,Local government workers,3.2,925.664
2018,Delaware,No Disability,Local government workers,2.7,11596.689
2018,Delaware,Total Civilian Noninstitutionalized Population,State government workers,10.2,46760.268
2018,Delaware,With a Disability,State government workers,8.7,2516.649
2018,Delaware,No Disability,State government workers,10.3,44239.221
2018,Delaware,Total Civilian Noninstitutionalized Population,Federal government workers,2.3,10543.982
2018,Delaware,With a Disability,Federal government workers,1.4,404.978
2018,Delaware,No Disability,Federal government workers,2.3,9878.661
2018,Delaware,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,4.6,21087.964
2018,Delaware,With a Disability,Self-employed in own not incorporated business workers,6.5,1880.255
2018,Delaware,No Disability,Self-employed in own not incorporated business workers,4.4,18898.308
2018,Delaware,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.1,458.434
2018,Delaware,With a Disability,Unpaid family workers,0,0
2018,Delaware,No Disability,Unpaid family workers,0.1,429.507
2018,Minnesota,Total Civilian Noninstitutionalized Population,,100,2973535
2018,Minnesota,With a Disability,,100,173940
2018,Minnesota,No Disability,,100,2799595
2018,Minnesota,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,71.8,2134998.13
2018,Minnesota,With a Disability,Private for-profit wage and salary workers,68,118279.2
2018,Minnesota,No Disability,Private for-profit wage and salary workers,72.1,2018507.995
2018,Minnesota,Total Civilian Noninstitutionalized Population,Employee of private company workers,68,2022003.8
2018,Minnesota,With a Disability,Employee of private company workers,64.9,112887.06
2018,Minnesota,No Disability,Employee of private company workers,68.2,1909323.79
2018,Minnesota,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.8,112994.33
2018,Minnesota,With a Disability,Self-employed in own incorporated business workers,3.2,5566.08
2018,Minnesota,No Disability,Self-employed in own incorporated business workers,3.8,106384.61
2018,Minnesota,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,11.4,338982.99
2018,Minnesota,With a Disability,Private not-for-profit wage and salary workers,15,26091
2018,Minnesota,No Disability,Private not-for-profit wage and salary workers,11.2,313554.64
2018,Minnesota,Total Civilian Noninstitutionalized Population,Local government workers,6.3,187332.705
2018,Minnesota,With a Disability,Local government workers,5.2,9044.88
2018,Minnesota,No Disability,Local government workers,6.4,179174.08
2018,Minnesota,Total Civilian Noninstitutionalized Population,State government workers,3.8,112994.33
2018,Minnesota,With a Disability,State government workers,3.6,6261.84
2018,Minnesota,No Disability,State government workers,3.8,106384.61
2018,Minnesota,Total Civilian Noninstitutionalized Population,Federal government workers,1.3,38655.955
2018,Minnesota,With a Disability,Federal government workers,1.4,2435.16
2018,Minnesota,No Disability,Federal government workers,1.3,36394.735
2018,Minnesota,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,5.1,151650.285
2018,Minnesota,With a Disability,Self-employed in own not incorporated business workers,6.5,11306.1
2018,Minnesota,No Disability,Self-employed in own not incorporated business workers,5,139979.75
2018,Minnesota,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,5947.07
2018,Minnesota,With a Disability,Unpaid family workers,0.2,347.88
2018,Minnesota,No Disability,Unpaid family workers,0.2,5599.19
2018,Montana,Total Civilian Noninstitutionalized Population,,100,523058
2018,Montana,With a Disability,,100,39639
2018,Montana,No Disability,,100,483419
2018,Montana,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,65.6,343126.048
2018,Montana,With a Disability,Private for-profit wage and salary workers,61,24179.79
2018,Montana,No Disability,Private for-profit wage and salary workers,65.9,318573.121
2018,Montana,Total Civilian Noninstitutionalized Population,Employee of private company workers,59.7,312265.626
2018,Montana,With a Disability,Employee of private company workers,54.5,21603.255
2018,Montana,No Disability,Employee of private company workers,60.1,290534.819
2018,Montana,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,5.9,30860.422
2018,Montana,With a Disability,Self-employed in own incorporated business workers,6.5,2576.535
2018,Montana,No Disability,Self-employed in own incorporated business workers,5.8,28038.302
2018,Montana,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,9.4,49167.452
2018,Montana,With a Disability,Private not-for-profit wage and salary workers,9.5,3765.705
2018,Montana,No Disability,Private not-for-profit wage and salary workers,9.4,45441.386
2018,Montana,Total Civilian Noninstitutionalized Population,Local government workers,7.1,37137.118
2018,Montana,With a Disability,Local government workers,5.9,2338.701
2018,Montana,No Disability,Local government workers,7.2,34806.168
2018,Montana,Total Civilian Noninstitutionalized Population,State government workers,5.2,27199.016
2018,Montana,With a Disability,State government workers,4.7,1863.033
2018,Montana,No Disability,State government workers,5.3,25621.207
2018,Montana,Total Civilian Noninstitutionalized Population,Federal government workers,3.9,20399.262
2018,Montana,With a Disability,Federal government workers,4.4,1744.116
2018,Montana,No Disability,Federal government workers,3.9,18853.341
2018,Montana,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,8.4,43936.872
2018,Montana,With a Disability,Self-employed in own not incorporated business workers,12.9,5113.431
2018,Montana,No Disability,Self-employed in own not incorporated business workers,8,38673.52
2018,Montana,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.4,2092.232
2018,Montana,With a Disability,Unpaid family workers,1.6,634.224
2018,Montana,No Disability,Unpaid family workers,0.2,966.838
2018,Arizona,Total Civilian Noninstitutionalized Population,,100,3214818
2018,Arizona,With a Disability,,100,206175
2018,Arizona,No Disability,,100,3008643
2018,Arizona,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,73.8,2372535.684
2018,Arizona,With a Disability,Private for-profit wage and salary workers,70.1,144528.675
2018,Arizona,No Disability,Private for-profit wage and salary workers,74.1,2229404.463
2018,Arizona,Total Civilian Noninstitutionalized Population,Employee of private company workers,69.8,2243942.964
2018,Arizona,With a Disability,Employee of private company workers,65.9,135869.325
2018,Arizona,No Disability,Employee of private company workers,70,2106050.1
2018,Arizona,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,4.1,131807.538
2018,Arizona,With a Disability,Self-employed in own incorporated business workers,4.2,8659.35
2018,Arizona,No Disability,Self-employed in own incorporated business workers,4.1,123354.363
2018,Arizona,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,6.6,212177.988
2018,Arizona,With a Disability,Private not-for-profit wage and salary workers,7.3,15050.775
2018,Arizona,No Disability,Private not-for-profit wage and salary workers,6.5,195561.795
2018,Arizona,Total Civilian Noninstitutionalized Population,Local government workers,6.4,205748.352
2018,Arizona,With a Disability,Local government workers,6.7,13813.725
2018,Arizona,No Disability,Local government workers,6.4,192553.152
2018,Arizona,Total Civilian Noninstitutionalized Population,State government workers,4.5,144666.81
2018,Arizona,With a Disability,State government workers,4.6,9484.05
2018,Arizona,No Disability,State government workers,4.5,135388.935
2018,Arizona,Total Civilian Noninstitutionalized Population,Federal government workers,2.5,80370.45
2018,Arizona,With a Disability,Federal government workers,2.8,5772.9
2018,Arizona,No Disability,Federal government workers,2.4,72207.432
2018,Arizona,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,6,192889.08
2018,Arizona,With a Disability,Self-employed in own not incorporated business workers,8.1,16700.175
2018,Arizona,No Disability,Self-employed in own not incorporated business workers,5.9,177509.937
2018,Arizona,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,6429.636
2018,Arizona,With a Disability,Unpaid family workers,0.3,618.525
2018,Arizona,No Disability,Unpaid family workers,0.2,6017.286
2018,Florida,Total Civilian Noninstitutionalized Population,,100,9733600
2018,Florida,With a Disability,,100,534729
2018,Florida,No Disability,,100,9198871
2018,Florida,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,76.3,7426736.8
2018,Florida,With a Disability,Private for-profit wage and salary workers,72.6,388213.254
2018,Florida,No Disability,Private for-profit wage and salary workers,76.5,7037136.315
2018,Florida,Total Civilian Noninstitutionalized Population,Employee of private company workers,70.4,6852454.4
2018,Florida,With a Disability,Employee of private company workers,66.8,357198.972
2018,Florida,No Disability,Employee of private company workers,70.6,6494402.926
2018,Florida,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,5.8,564548.8
2018,Florida,With a Disability,Self-employed in own incorporated business workers,5.8,31014.282
2018,Florida,No Disability,Self-employed in own incorporated business workers,5.8,533534.518
2018,Florida,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,6.4,622950.4
2018,Florida,With a Disability,Private not-for-profit wage and salary workers,7,37431.03
2018,Florida,No Disability,Private not-for-profit wage and salary workers,6.4,588727.744
2018,Florida,Total Civilian Noninstitutionalized Population,Local government workers,6.6,642417.6
2018,Florida,With a Disability,Local government workers,6.7,35826.843
2018,Florida,No Disability,Local government workers,6.6,607125.486
2018,Florida,Total Civilian Noninstitutionalized Population,State government workers,2.8,272540.8
2018,Florida,With a Disability,State government workers,2.9,15507.141
2018,Florida,No Disability,State government workers,2.8,257568.388
2018,Florida,Total Civilian Noninstitutionalized Population,Federal government workers,1.9,184938.4
2018,Florida,With a Disability,Federal government workers,2.5,13368.225
2018,Florida,No Disability,Federal government workers,1.8,165579.678
2018,Florida,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,5.8,564548.8
2018,Florida,With a Disability,Self-employed in own not incorporated business workers,7.6,40639.404
2018,Florida,No Disability,Self-employed in own not incorporated business workers,5.7,524335.647
2018,Florida,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,19467.2
2018,Florida,With a Disability,Unpaid family workers,0.5,2673.645
2018,Florida,No Disability,Unpaid family workers,0.2,18397.742
2018,Massachusetts,Total Civilian Noninstitutionalized Population,,100,3622873
2018,Massachusetts,With a Disability,,100,183155
2018,Massachusetts,No Disability,,100,3439718
2018,Massachusetts,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,69.8,2528765.354
2018,Massachusetts,With a Disability,Private for-profit wage and salary workers,68.8,126010.64
2018,Massachusetts,No Disability,Private for-profit wage and salary workers,69.8,2400923.164
2018,Massachusetts,Total Civilian Noninstitutionalized Population,Employee of private company workers,66.8,2420079.164
2018,Massachusetts,With a Disability,Employee of private company workers,65.2,119417.06
2018,Massachusetts,No Disability,Employee of private company workers,66.9,2301171.342
2018,Massachusetts,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3,108686.19
2018,Massachusetts,With a Disability,Self-employed in own incorporated business workers,3.5,6410.425
2018,Massachusetts,No Disability,Self-employed in own incorporated business workers,2.9,99751.822
2018,Massachusetts,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,12.7,460104.871
2018,Massachusetts,With a Disability,Private not-for-profit wage and salary workers,12.3,22528.065
2018,Massachusetts,No Disability,Private not-for-profit wage and salary workers,12.7,436844.186
2018,Massachusetts,Total Civilian Noninstitutionalized Population,Local government workers,6.7,242732.491
2018,Massachusetts,With a Disability,Local government workers,5.9,10806.145
2018,Massachusetts,No Disability,Local government workers,6.7,230461.106
2018,Massachusetts,Total Civilian Noninstitutionalized Population,State government workers,3.5,126800.555
2018,Massachusetts,With a Disability,State government workers,4.6,8425.13
2018,Massachusetts,No Disability,State government workers,3.5,120390.13
2018,Massachusetts,Total Civilian Noninstitutionalized Population,Federal government workers,1.5,54343.095
2018,Massachusetts,With a Disability,Federal government workers,1.7,3113.635
2018,Massachusetts,No Disability,Federal government workers,1.5,51595.77
2018,Massachusetts,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,5.6,202880.888
2018,Massachusetts,With a Disability,Self-employed in own not incorporated business workers,6.4,11721.92
2018,Massachusetts,No Disability,Self-employed in own not incorporated business workers,5.5,189184.49
2018,Massachusetts,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.1,3622.873
2018,Massachusetts,With a Disability,Unpaid family workers,0.3,549.465
2018,Massachusetts,No Disability,Unpaid family workers,0.1,3439.718
2018,DC,Total Civilian Noninstitutionalized Population,,100,380726
2018,DC,With a Disability,,100,19928
2018,DC,No Disability,,100,360798
2018,DC,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,53,201784.78
2018,DC,With a Disability,Private for-profit wage and salary workers,47.3,9425.944
2018,DC,No Disability,Private for-profit wage and salary workers,53.4,192666.132
2018,DC,Total Civilian Noninstitutionalized Population,Employee of private company workers,49.9,189982.274
2018,DC,With a Disability,Employee of private company workers,42.9,8549.112
2018,DC,No Disability,Employee of private company workers,50.2,181120.596
2018,DC,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.2,12183.232
2018,DC,With a Disability,Self-employed in own incorporated business workers,4.4,876.832
2018,DC,No Disability,Self-employed in own incorporated business workers,3.1,11184.738
2018,DC,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,19.2,73099.392
2018,DC,With a Disability,Private not-for-profit wage and salary workers,22.7,4523.656
2018,DC,No Disability,Private not-for-profit wage and salary workers,19,68551.62
2018,DC,Total Civilian Noninstitutionalized Population,Local government workers,4.6,17513.396
2018,DC,With a Disability,Local government workers,6.3,1255.464
2018,DC,No Disability,Local government workers,4.5,16235.91
2018,DC,Total Civilian Noninstitutionalized Population,State government workers,2.3,8756.698
2018,DC,With a Disability,State government workers,2.9,577.912
2018,DC,No Disability,State government workers,2.2,7937.556
2018,DC,Total Civilian Noninstitutionalized Population,Federal government workers,16.1,61296.886
2018,DC,With a Disability,Federal government workers,12,2391.36
2018,DC,No Disability,Federal government workers,16.3,58810.074
2018,DC,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,4.7,17894.122
2018,DC,With a Disability,Self-employed in own not incorporated business workers,8.3,1654.024
2018,DC,No Disability,Self-employed in own not incorporated business workers,4.5,16235.91
2018,DC,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.1,380.726
2018,DC,With a Disability,Unpaid family workers,0.5,99.64
2018,DC,No Disability,Unpaid family workers,0.1,360.798
2018,Utah,Total Civilian Noninstitutionalized Population,,100,1533562
2018,Utah,With a Disability,,100,85401
2018,Utah,No Disability,,100,1448161
2018,Utah,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,73.7,1130235.194
2018,Utah,With a Disability,Private for-profit wage and salary workers,70.6,60293.106
2018,Utah,No Disability,Private for-profit wage and salary workers,73.9,1070190.979
2018,Utah,Total Civilian Noninstitutionalized Population,Employee of private company workers,69.2,1061224.904
2018,Utah,With a Disability,Employee of private company workers,66.7,56962.467
2018,Utah,No Disability,Employee of private company workers,69.3,1003575.573
2018,Utah,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,4.5,69010.29
2018,Utah,With a Disability,Self-employed in own incorporated business workers,3.9,3330.639
2018,Utah,No Disability,Self-employed in own incorporated business workers,4.6,66615.406
2018,Utah,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,6.9,105815.778
2018,Utah,With a Disability,Private not-for-profit wage and salary workers,6.7,5721.867
2018,Utah,No Disability,Private not-for-profit wage and salary workers,6.9,99923.109
2018,Utah,Total Civilian Noninstitutionalized Population,Local government workers,5.7,87413.034
2018,Utah,With a Disability,Local government workers,6.3,5380.263
2018,Utah,No Disability,Local government workers,5.7,82545.177
2018,Utah,Total Civilian Noninstitutionalized Population,State government workers,5.8,88946.596
2018,Utah,With a Disability,State government workers,6,5124.06
2018,Utah,No Disability,State government workers,5.8,83993.338
2018,Utah,Total Civilian Noninstitutionalized Population,Federal government workers,2.9,44473.298
2018,Utah,With a Disability,Federal government workers,3.9,3330.639
2018,Utah,No Disability,Federal government workers,2.8,40548.508
2018,Utah,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,4.8,73610.976
2018,Utah,With a Disability,Self-employed in own not incorporated business workers,6.1,5209.461
2018,Utah,No Disability,Self-employed in own not incorporated business workers,4.7,68063.567
2018,Utah,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,3067.124
2018,Utah,With a Disability,Unpaid family workers,0.4,341.604
2018,Utah,No Disability,Unpaid family workers,0.1,1448.161
2018,New York,Total Civilian Noninstitutionalized Population,,100,9503085
2018,New York,With a Disability,,100,442082
2018,New York,No Disability,,100,9061003
